Vehicle ID,Identifier,Make,Model,Color,License Plate,Passenger Seats,Status,VIN,Garage Stop,Contractor Name,Vehicle Model Year,Vehicle Description,Emissions Rate,Vehicle Type ID,Capacity Type,Created At,Updated At,Photo URL,Accessibility Features
46f66fb3-f2dd-459a-9bf0-1c3f1e9134fd,675-01J CAR,Toyota,Prius V,White,HWB 863,3,active,JTDZN3EU7HJ069165,"2005-411 Cumberland Ave, Winnipeg, MB  R3B 1T7",JD Taxi Inc.,2017,Car,417,77e0beba-d929-4b9d-b543-920fc6faf5bc,legacy,2024-06-03 20:54:28,2024-07-19 10:51:02,,"walker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 1, seat cost: 1, first in last out: False)"
4da04417-23af-4b1f-82d9-2f800055b35f,1756E VAN,Dodge,Ram ProMaster,White,HSY 166,3,active,,"106 De Vos Rd, Winnipeg, MB  R3T 5Y1",Exact Care Inc.,,Lift Van,417,e4a048ac-038e-4c6d-b999-ec88bd7e2701,legacy,2024-06-03 20:54:28,2024-06-08 19:39:53,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 1, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
e1bd5e60-5a9a-4451-88a5-edd0e20f1b63,1755E VAN,Dodge,Ram ProMaster,White,HSY 165,3,active,,"3078 Ness Ave, Winnipeg, MB  R2Y 0G2",Exact Care Inc.,2017,Lift Van,417,e4a048ac-038e-4c6d-b999-ec88bd7e2701,legacy,2024-06-03 20:54:28,2024-07-19 11:03:50,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 1, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
39be87c9-fa91-406c-99d3-e9c1a9a7d76a,1754E VAN,Dodge,Ram ProMaster,White,HSY 164,3,active,,"1508 Leila Ave, Winnipeg, MB  R2P 1L2",Exact Care Inc.,2017,Lift Van,417,e4a048ac-038e-4c6d-b999-ec88bd7e2701,legacy,2024-06-03 20:54:28,2024-07-19 11:03:57,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 1, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
fe492669-8d8c-4dcd-8efe-e60d6a5a410f,1753E VAN,Dodge,Ram ProMaster,White,HSY 163,3,active,,"170 Singh Trail, Winnipeg, MB  R2R 2A5",Exact Care Inc.,2017,Lift Van,417,e4a048ac-038e-4c6d-b999-ec88bd7e2701,legacy,2024-06-03 20:54:28,2024-07-19 11:04:04,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 1, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
bc5d5fda-28e9-4da3-9cfa-36cf5d2f2888,1751E VAN,Dodge,Ram ProMaster,White,HSY 161,3,active,,"35 Willow Brook Rd, Winnipeg, MB  R3Y 0N7",Exact Care Inc.,2017,Lift Van,417,e4a048ac-038e-4c6d-b999-ec88bd7e2701,legacy,2024-06-03 20:54:28,2024-07-19 11:04:10,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 1, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
f03e8ebf-596b-4d1a-95b3-7f8ac3adc080,1752E VAN,Dodge,Ram ProMaster,White,HSY 162,3,active,,"36 Ravenhill Rd, Winnipeg, MB  R2K 3K5",Exact Care Inc.,2017,Lift Van,417,e4a048ac-038e-4c6d-b999-ec88bd7e2701,legacy,2024-06-03 20:54:28,2024-07-19 11:04:16,,"wheelchair (count: 2, seat cost: 0, first in last out: True); walker (count: 1, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 2, seat cost: 0, first in last out: False)"
7e88cc08-a779-4aa4-b8bc-0cc84cfe08cf,806E BUS,Arboc (GM Chassis),Spirit of Freedom,White,KPV 916,8,active,,"144 Lakebourne Dr, Winnipeg, MB  R2P 1R8",Exact Care Inc.,2020,27' Bus; 700U and 800E series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:04:22,,"wheelchair (count: 3, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 3, seat cost: 0, first in last out: False)"
e6818639-9148-417e-9f94-286f6d419b14,805E BUS,Arboc (GM Chassis),Spirit of Freedom,White,KPV 911,8,active,,"106 De Vos Rd, Winnipeg, MB  R3T 5Y1",Exact Care Inc.,2020,27' Bus; 700U and 800E series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-07-19 11:04:27,,"wheelchair (count: 3, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 3, seat cost: 0, first in last out: False)"
d9759bfb-34b4-48ca-89d8-df9de3ab43cd,804E BUS,Arboc (GM Chassis),Spirit of Freedom,White,KPV 914,8,active,,"123 Yorkvalley Way, Winnipeg, MB  R3Y 0K7",Exact Care Inc.,,27' Bus; 700U and 800E series,469,7cf39a3a-95f8-4bbf-8b60-dc5bc2ec8edd,legacy,2024-06-03 20:54:28,2024-06-08 20:13:17,,"wheelchair (count: 3, seat cost: 0, first in last out: True); walker (count: 2, seat cost: 0, first in last out: False); oversizedWalker (count: 2, seat cost: 0, first in last out: False); serviceAnimal (count: 2, seat cost: 0, first in last out: False); oxygenTank (count: 3, seat cost: 0, first in last out: False)"
